money_id ,unit_money ,quantity_money ,
money1079,  ,  ,
money1080,  ,  ,
money1081,  ,  ,
money1082,  ,  ,
money1083,  ,  ,
money1084,  ,  ,
money1085,  ,  ,
money1086,  ,  ,
money1087,  ,  ,
money1088,  ,  ,
money1089,  ,  ,
money1090,  ,  ,
money1091,  ,  ,
money1092,  ,  ,
money1093,  ,  ,
money1094,  ,  ,
money1095,  ,  ,
money1096,  ,  ,
money1097,  ,  ,
money1098,  ,  ,
money1099,  ,  ,
money1100,  ,  ,
money1101,  ,  ,
money1102,  ,  ,
money1103,  ,  ,
money1104,  ,  ,
money1105,  ,  ,
money1106,  ,  ,
money1107,  ,  ,
money1108,  ,  ,
money1109,  ,  ,
money1110,  ,  ,
money1111,  ,  ,
money1112,  ,  ,
money1113,  ,  ,
money1114,  ,  ,
money1115,  ,  ,
money1116,  ,  ,
money1117,  ,  ,
money1118,  ,  ,
money1119,  ,  ,
money1120,  ,  ,
money1121,  ,  ,
money1122,  ,  ,
money1123,  ,  ,
money1124,  ,  ,
money1125,  ,  ,
money1126,  ,  ,
money1127,  ,  ,
money1128,  ,  ,
money1129,  ,  ,
money1130,  ,  ,
money1131,dollars ,117,
money1132,cents ,50,
money1133,dollars ,1,
money1134,cents ,33,
money1135,dollars ,5,
money1136,dollars ,10,
money1137,dollars ,10,
money1138,dollars ,1,
money1139,cents ,5,
money1140,cents ,63,
money1141,dollars ,5,
money1142,dollars ,10,
money1143,dollars ,15,
money1144,dollars ,2,
money1145,cents ,93,
money1146,dollars ,30.47,
money1147,dollars ,32.5,
money1148,cents ,17,
money1149,cents ,63,
money1150,dollars ,50,
money1151,dollars ,10,
money1152,cents ,61,
money1153,dollars ,4,
money1154,cents ,36,
money1155,dollars ,8,
money1156,cents ,50,
money1157,dollars ,21,
money1158,cents ,50,
money1159,  ,  ,
money1160,  ,  ,
money1161,  ,  ,
money1162,  ,  ,
money1163,  ,  ,
money1164,  ,  ,
money1165,  ,  ,
money1166,  ,  ,
money1167,  ,  ,
money1168,  ,  ,
money1169,  ,  ,
money1170,  ,  ,
money1171,  ,  ,
money1172,  ,  ,
money1173,  ,  ,
money1174,  ,  ,
money1175,  ,  ,
money1176,  ,  ,
money1177,  ,  ,
money1178,  ,  ,
money1179,  ,  ,
money1180,  ,  ,
money1181,  ,  ,
money1182,  ,  ,
money1183,  ,  ,
money1184,  ,  ,
money1185,  ,  ,
money1186,  ,  ,
money1187,  ,  ,
money1188,  ,  ,
money1189,  ,  ,
money1190,  ,  ,
money1191,  ,  ,
money1192,  ,  ,
money1193,  ,  ,
money1194,  ,  ,
money1195,  ,  ,
money1196,  ,  ,
money1197,  ,  ,
money1198,  ,  ,
money1199,  ,  ,
money1200,  ,  ,
